hour,day_of_week,is_business_hours,is_late_night,source_ip_clean,source_network,source_is_private,has_valid_source_ip,user_clean,is_root_user,is_unknown_user,port_clean,protocol_clean,normalized_message,domain_count,url_count,message_length,word_count,contains_failed,contains_invalid,contains_root,contains_breakin,contains_disconnect,events_from_same_ip,events_for_same_user,same_ip_user_attempts,failed_events_from_same_ip,anomaly_label,anomaly_score
6,3,0,0,173.234.31.186,173.234.31.0/24,0,1,unknown,0,1,-1,ssh,possible_break_in,1,0,79,7,0,0,0,0,0,10,848,6,4,normal,0.009386418892867454
6,3,0,0,173.234.31.186,173.234.31.0/24,0,1,webmaster,0,0,-1,ssh,invalid_user,0,0,42,5,0,1,0,0,0,10,5,3,4,normal,0.05626093567894763
6,3,0,0,unknown,unknown,0,0,webmaster,0,0,-1,ssh,invalid_user,0,0,56,5,0,1,0,0,0,266,5,2,9,normal,0.04700606200409252
6,3,0,0,unknown,unknown,0,0,unknown,0,1,-1,ssh,invalid_user,0,0,45,5,0,0,0,0,0,266,848,151,9,normal,0.021549814565228642
6,3,0,0,173.234.31.186,173.234.31.0/24,0,1,unknown,0,1,-1,ssh,auth_failure,0,0,66,7,1,0,0,0,0,10,848,6,4,normal,0.04983711060736579
6,3,0,0,173.234.31.186,173.234.31.0/24,0,1,webmaster,0,0,38926,ssh2,auth_failure,0,0,15,2,1,0,0,0,0,10,5,3,4,normal,0.06251954407165577
6,3,0,0,173.234.31.186,173.234.31.0/24,0,1,unknown,0,1,-1,ssh,connection_closed,0,0,45,5,0,0,0,0,1,10,848,6,4,normal,0.04379655199056026
7,3,0,0,212.47.254.145,212.47.254.0/24,0,1,unknown,0,1,-1,ssh,connection_closed,0,0,46,5,0,0,0,0,1,1,848,1,0,normal,0.04442247729317522
7,3,0,0,52.80.34.196,52.80.34.0/24,0,1,test9,0,0,-1,ssh,invalid_user,0,0,36,5,0,1,0,0,0,15,3,2,5,normal,0.04934910729546371
7,3,0,0,unknown,unknown,0,0,test9,0,0,-1,ssh,invalid_user,0,0,52,5,0,1,0,0,0,266,3,1,9,normal,0.04750176692934399
7,3,0,0,unknown,unknown,0,0,unknown,0,1,-1,ssh,invalid_user,0,0,45,5,0,0,0,0,0,266,848,151,9,normal,0.025321106579237307
7,3,0,0,unknown,unknown,0,0,unknown,0,1,-1,ssh,auth_failure,1,0,66,7,1,0,0,0,0,266,848,151,9,normal,0.01853011832855156
7,3,0,0,52.80.34.196,52.80.34.0/24,0,1,test9,0,0,36060,ssh2,auth_failure,0,0,15,2,1,0,0,0,0,15,3,2,5,normal,0.05551244111969883
7,3,0,0,52.80.34.196,52.80.34.0/24,0,1,unknown,0,1,-1,ssh,connection_closed,0,0,60,8,0,0,0,0,1,15,848,5,5,normal,0.04798926529924924
7,3,0,0,173.234.31.186,173.234.31.0/24,0,1,unknown,0,1,-1,ssh,possible_break_in,1,0,79,7,0,0,0,0,0,10,848,6,4,normal,0.009678229926876336
7,3,0,0,173.234.31.186,173.234.31.0/24,0,1,webmaster: none,0,0,-1,ssh,invalid_user,0,0,22,3,0,1,0,0,0,10,1,1,4,normal,0.05922403869621201
7,3,0,0,unknown,unknown,0,0,webmaster,0,0,-1,ssh,invalid_user,0,0,56,5,0,1,0,0,0,266,5,2,9,normal,0.05013094646533012
7,3,0,0,unknown,unknown,0,0,unknown,0,1,-1,ssh,invalid_user,0,0,45,5,0,0,0,0,0,266,848,151,9,normal,0.025321106579237307
7,3,0,0,173.234.31.186,173.234.31.0/24,0,1,unknown,0,1,-1,ssh,auth_failure,0,0,66,7,1,0,0,0,0,10,848,6,4,normal,0.05168624702505714
7,3,0,0,173.234.31.186,173.234.31.0/24,0,1,webmaster,0,0,39257,ssh2,auth_failure,0,0,15,2,1,0,0,0,0,10,5,3,4,normal,0.06430870122404847
7,3,0,0,173.234.31.186,173.234.31.0/24,0,1,unknown,0,1,-1,ssh,connection_closed,0,0,44,5,0,0,0,0,1,10,848,6,4,normal,0.04367462606099343
7,3,0,0,202.109.179.208,202.109.179.0/24,0,1,chen,0,0,-1,ssh,invalid_user,0,0,40,5,0,1,0,0,0,1,3,1,0,normal,0.06929490786948911
7,3,0,0,unknown,unknown,0,0,chen,0,0,-1,ssh,invalid_user,0,0,51,5,0,1,0,0,0,266,3,1,9,normal,0.052413487219410915
7,3,0,0,unknown,unknown,0,0,unknown,0,1,-1,ssh,invalid_user,0,0,45,5,0,0,0,0,0,266,848,151,9,normal,0.025321106579237307
7,3,0,0,202.100.179.208,202.100.179.0/24,0,1,unknown,0,1,-1,ssh,auth_failure,0,0,66,7,1,0,0,0,0,6,848,3,4,normal,0.06038662069953599
7,3,0,0,202.100.179.208,202.100.179.0/24,0,1,chen,0,0,32484,ssh2,auth_failure,0,0,15,2,1,0,0,0,0,6,3,1,4,normal,0.04805183071432184
7,3,0,0,202.209.179.208,202.209.179.0/24,0,1,unknown,0,1,-1,ssh,connection_closed,0,0,66,8,0,0,0,0,1,1,848,1,0,normal,0.06341263927522217
7,3,0,0,5.36.59.76,5.36.59.0/24,0,1,root,1,0,-1,ssh,auth_failure,1,0,66,7,1,0,0,0,0,3,741,3,3,normal,0.030574727721954464
7,3,0,0,5.6.59.76,5.6.59.0/24,0,1,root,1,0,42393,ssh2,auth_failure,0,0,15,2,1,0,0,0,0,1,741,1,1,normal,0.07707658371899362
7,3,0,0,5.36.59.76,5.36.59.0/24,0,1,root,1,0,42393,ssh2,auth_failure,0,0,43,7,1,0,0,0,0,3,741,3,3,normal,0.06612711591672699
7,3,0,0,unknown,unknown,0,0,unknown,0,1,-1,ssh,too_many_failures,0,0,66,8,1,0,1,0,1,266,848,151,9,normal,0.03880564792415381
7,3,0,0,5.36.59.76,5.36.59.0/24,0,1,root,1,0,-1,ssh,auth_failure,1,0,70,10,1,0,0,0,0,3,741,3,3,normal,0.016079785733511265
7,3,0,0,unknown,unknown,0,0,unknown,0,1,-1,ssh,too_many_failures,0,0,45,8,0,0,0,0,0,266,848,151,9,normal,0.03909891418874878
7,3,0,0,112.95.230.3,112.95.230.0/24,0,1,root,1,0,-1,ssh,auth_failure,0,0,66,7,1,0,0,0,0,80,741,48,52,normal,0.04814345238526835
7,3,0,0,112.95.230.3,112.95.230.0/24,0,1,root,1,0,45378,ssh2,auth_failure,0,0,15,2,1,0,0,0,0,80,741,48,52,normal,0.06682097162471329
7,3,0,0,112.95.230.3,112.95.230.0/24,0,1,unknown,0,1,-1,ssh,connection_closed,0,0,60,8,0,0,0,0,1,80,848,28,52,normal,0.04487190840908806
7,3,0,0,112.95.230.3,112.95.230.0/24,0,1,root,1,0,-1,ssh,auth_failure,0,0,66,7,1,0,0,0,0,80,741,48,52,normal,0.04814345238526835
7,3,0,0,112.95.230.3,112.95.230.0/24,0,1,root,1,0,47068,ssh2,auth_failure,0,0,15,2,1,0,0,0,0,80,741,48,52,normal,0.0676520171510343
7,3,0,0,112.95.230.3,112.95.230.0/24,0,1,unknown,0,1,-1,ssh,connection_closed,0,0,62,8,0,0,0,0,1,80,848,28,52,normal,0.039375407662689044
7,3,0,0,112.95.230.3,112.95.230.0/24,0,1,root,1,0,-1,ssh,auth_failure,0,0,66,7,1,0,0,0,0,80,741,48,52,normal,0.04814345238526835
7,3,0,0,112.95.230.3,112.95.230.0/24,0,1,root,1,0,49188,ssh2,auth_failure,0,0,15,2,1,0,0,0,0,80,741,48,52,normal,0.06475539698154054
7,3,0,0,112.95.230.3,112.95.230.0/24,0,1,unknown,0,1,-1,ssh,connection_closed,0,0,62,8,0,0,0,0,1,80,848,28,52,normal,0.039375407662689044
7,3,0,0,112.95.230.3,112.95.230.0/24,0,1,root,1,0,-1,ssh,auth_failure,0,0,66,7,1,0,0,0,0,80,741,48,52,normal,0.04814345238526835
7,3,0,0,112.95.230.3,112.95.230.0/24,0,1,root,1,0,50999,ssh2,auth_failure,0,0,15,2,1,0,0,0,0,80,741,48,52,normal,0.06422768052306377
